coach_id,name,full_name,birth_date,nationality
TIT,Tite,Adenor Leonardo Bacchi,1961-05-25,Brazilian
ANG,Ancelotti,Carlo Ancelotti,1959-06-10,Italian
JJ,Jorge Jesus,Jorge Fernando Pinheiro de Jesus,1954-07-24,Portuguese
REN,Renato Gaúcho,Renato Portaluppi,1962-09-09,Brazilian
ABE,Abel Ferreira,Abel Fernando Moreira Ferreira,1978-12-22,Portuguese
COD,Vítor Pereira,Vítor Manuel de Oliveira Lopes Pereira,1968-07-26,Portuguese
COU,Cuca,Alexi Stival,1963-06-07,Brazilian
MEI,Rogério Ceni,Rogério Mücke Ceni,1973-01-22,Brazilian
DOR,Dorival Júnior,Dorival Silvestre Júnior,1962-04-25,Brazilian
FEL,Felipe Luis,Filipe Luís Kasmirski,1985-08-09,Brazilian
