match_id,player_id,team_id,minutes_played,goals,assists,yellow_cards,red_cards,rating
M0001,ROD,SPF,47,1,0,0,0,7.1
M0001,NEY,SPF,5,0,0,0,0,6.5
M0001,VIN,SPF,53,0,0,0,0,9.2
M0002,RAF,CRU,72,2,0,1,0,6.0
M0002,RIC,CRU,69,0,1,0,0,6.4
M0002,ANT,CRU,47,0,0,0,0,8.2
M0002,PED,ATH,88,0,0,0,0,6.4
M0002,EVE,ATH,45,0,0,0,0,9.0
M0002,CAL,ATH,22,0,0,0,0,9.9
M0003,GAB,CAM,59,0,0,0,0,7.1
M0003,BRU,CAM,12,0,0,0,0,8.1
M0003,LUC,CAM,25,0,0,0,0,6.4
M0005,MAR,INT,86,0,0,0,0,7.4
M0005,TSI,INT,11,0,0,0,0,9.6
M0005,MIL,INT,90,0,0,0,0,9.5
M0005,ZIC,FLA,46,1,2,0,0,7.4
M0005,PEL,FLA,4,2,0,0,0,9.7
M0005,GAR,FLA,46,0,0,0,0,9.2
M0006,NAC,BAH,58,0,0,0,0,6.0
M0006,HUL,BOT,47,0,0,0,0,8.6
M0006,ARR,BOT,14,0,0,0,0,7.3
M0006,GAB1,BOT,66,0,0,0,0,5.9
M0007,RDG,COR,42,0,1,0,1,8.1
M0007,RON,COR,55,0,0,0,0,9.9
M0007,ROM,COR,76,0,0,0,0,7.0
M0008,RAF,CRU,4,0,0,0,0,5.5
M0008,ANT,CRU,90,1,0,1,0,8.8
M0008,RIC,CRU,83,0,0,1,0,9.8
M0008,ROM,COR,59,0,1,0,0,8.3
M0008,RON,COR,61,0,0,0,0,7.2
M0008,RDG,COR,25,0,1,0,0,7.0
M0009,ROM,COR,79,2,0,0,0,6.3
M0009,RDG,COR,14,1,0,0,0,8.9
M0009,RON,COR,7,0,0,0,0,9.3
M0009,ANT,CRU,12,0,0,1,0,6.3
M0009,RIC,CRU,45,0,0,0,0,6.3
M0009,RAF,CRU,65,1,0,0,0,7.4
M0010,SOC,SAN,72,0,1,0,0,6.5
M0010,KAK,SAN,23,0,0,0,0,8.3
M0010,BEB,SAN,77,0,1,0,0,8.6
