player_id,name,full_name,position,birth_date,nationality,height,weight
PEL,Pelé,Edson Arantes do Nascimento,Forward,1940-10-23,Brazilian,173,75
GAR,Garrincha,Manuel Francisco dos Santos,Winger,1933-10-28,Brazilian,169,72
ZIC,Zico,Arthur Antunes Coimbra,Midfielder,1953-03-03,Brazilian,172,70
ROM,Romário,Romário de Souza Faria,Forward,1966-01-29,Brazilian,167,70
RON,Ronaldo,Ronaldo Luís Nazário de Lima,Forward,1976-09-18,Brazilian,183,82
RDG,Ronaldinho,Ronaldo de Assis Moreira,Midfielder,1980-03-21,Brazilian,181,80
RIV,Rivaldo,Rivaldo Vítor Borba Ferreira,Forward,1972-04-19,Brazilian,186,75
CAF,Cafu,Marcos Evangelista de Morais,Defender,1970-06-07,Brazilian,176,73
RCA,Roberto Carlos,Roberto Carlos da Silva Rocha,Defender,1973-04-10,Brazilian,168,70
BEB,Bebeto,José Roberto Gama de Oliveira,Forward,1964-02-16,Brazilian,175,72
SOC,Sócrates,Sócrates Brasileiro Sampaio de Souza Vieira de Oliveira,Midfielder,1954-02-19,Brazilian,192,79
KAK,Kaká,Ricardo Izecson dos Santos Leite,Midfielder,1982-04-22,Brazilian,186,82
NEY,Neymar Jr,Neymar da Silva Santos Júnior,Forward,1992-02-05,Brazilian,175,68
VIN,Vinícius Jr,Vinícius José Paixão de Oliveira Júnior,Forward,2000-07-12,Brazilian,176,73
ROD,Rodrygo,Rodrygo Silva de Goes,Forward,2001-01-09,Brazilian,174,64
ALI,Alisson,Alisson Ramses Becker,Goalkeeper,1992-10-02,Brazilian,193,91
EDE,Ederson,Ederson Santana de Moraes,Goalkeeper,1993-08-17,Brazilian,188,86
CAS,Casemiro,Carlos Henrique Casimiro,Midfielder,1992-02-23,Brazilian,185,84
MAR,Marquinhos,Marcos Aoás Corrêa,Defender,1994-05-14,Brazilian,183,75
TSI,Thiago Silva,Thiago Emiliano da Silva,Defender,1984-09-22,Brazilian,183,79
MIL,Éder Militão,Éder Gabriel Militão,Defender,1998-01-18,Brazilian,186,78
BRU,Bruno Guimarães,Bruno Guimarães Rodriguez Moura,Midfielder,1997-11-16,Brazilian,182,71
LUC,Lucas Paquetá,Lucas Tolentino Coelho de Lima,Midfielder,1997-08-27,Brazilian,180,72
GAB,Gabriel Jesus,Gabriel Fernando de Jesus,Forward,1997-04-03,Brazilian,175,73
ANT,Antony,Antony Matheus dos Santos,Forward,2000-02-24,Brazilian,174,63
RAF,Raphinha,Raphael Dias Belloli,Forward,1996-12-14,Brazilian,176,68
RIC,Richarlison,Richarlison de Andrade,Forward,1997-05-10,Brazilian,184,83
FRE,Fred,Frederico Rodrigues de Paula Santos,Midfielder,1993-03-05,Brazilian,169,64
FAB,Fabinho,Fábio Henrique Tavares,Midfielder,1993-10-23,Brazilian,188,78
DAN,Danilo,Danilo Luiz da Silva,Defender,1991-07-15,Brazilian,184,78
GAB1,Gabigol,Gabriel Barbosa Almeida,Forward,1996-08-30,Brazilian,178,78
ARR,Arrascaeta,Giorgian De Arrascaeta,Midfielder,1994-06-01,Uruguayan,174,74
HUL,Hulk,Givanildo Vieira de Sousa,Forward,1986-07-25,Brazilian,180,94
VEI,Veiga,Raphael Veiga,Midfielder,1995-06-19,Brazilian,177,75
DUD,Dudu,Eduardo Pereira Rodrigues,Forward,1992-01-07,Brazilian,166,66
RON2,Rony,Ronielson da Silva Barbosa,Forward,1995-05-11,Brazilian,169,65
EVE,Everton Ribeiro,Everton Augusto de Barros Ribeiro,Midfielder,1989-04-10,Brazilian,175,70
PED,Pedro,Pedro Guilherme Abreu dos Santos,Forward,1997-06-20,Brazilian,185,83
CAL,Calleri,Jonathan Calleri,Forward,1993-09-23,Argentine,184,81
NAC,Nacho Fernández,Ignacio Fernández Lobbe,Midfielder,1990-01-12,Argentine,172,68
